full_id,osm_id,osm_type,fare_zone,line,name,name:he,name:ru,network,operator,public_transport,railway,source_ref,station,subway,wheelchair,wikidata,wikipedia,platforms,naptan:AtcoCode,network:subway,network:train,operator:subway,operator:train,ref:crs,ref:tiploc,train,old_name,name:da,access,bicycle,bicycle:conditional,start_date,wikimedia_commons,alt_name,name:fr,railway:ref:DB,toilets:wheelchair,uic_ref,website,website:departures,internet_access,internet_access:fee,internet_access:ssid,addr:postcode,addr:street,layer,level,amenity,ferry,name:en,addr:housename,internet_access:access,internet_access:operator,colour,source:building,source:name,addr:city,addr:country,alt_name:ru,wheelchair:description,note:wheelchair,source:network,indoor,description,ref:stanox,barrier,addr:housenumber,entrance,disused:man_made,email,image
n119274464,"119274464",node,"1","Metropolitan;Northern;Piccadilly;Circle;Victoria;Hammersmith & City",King's Cross St Pancras,תחנת הרכבת התחתית קינגס קרוס סיינט פנקראס,Кингс-Кросс Сент-Панкрасс,London Underground,London Underground,station,station,http://en.wikipedia.org/wiki/List_of_London_Underground_stations#cite_note-usage-6,subway,yes,yes,Q826120,en:King's Cross St Pancras tube station,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
n186194628,"186194628",node,"2",Piccadilly,Arsenal,,,London Underground,London Underground,station,station,,subway,yes,,Q262548,en:Arsenal tube station,"2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
n561297695,"561297695",node,"2","Piccadilly;Victoria",Finsbury Park,,,"National Rail;London Underground","Great Northern;London Underground",station,station,"http://en.wikipedia.org/wiki/List_of_London_railway_stations;http://en.wikipedia.org/wiki/List_of_London_Underground_stations",subway,yes,,Q536796,en:Finsbury Park station,,9100FNPK,London Underground,National Rail,London Underground,Great Northern,FPK,FNPK,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
n1264468143,"1264468143",node,"1","Circle;Hammersmith & City;Bakerloo;Jubilee;Metropolitan",Baker Street,,Бейкер-стрит,London Underground,,station,station,,subway,yes,,Q616218,en:Baker Street tube station,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
n1264482797,"1264482797",node,"1","District;Circle;Bakerloo","Paddington (Bakerloo, Circle and District lines)",,"Паддингтон (линии Бейкерлу, Дистрикт и Кольцевая)",London Underground,,station,station,,subway,yes,yes,Q214788,"en:Paddington tube station (Bakerloo, Circle and District lines)",,,,,,,,,,Praed Street,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
n1389887370,"1389887370",node,"2;3",Northern,Archway,,Арчвей,London Underground,London Underground,station,station,http://en.wikipedia.org/wiki/List_of_London_Underground_stations,subway,yes,,Q636351,en:Archway tube station,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
n1670707904,"1670707904",node,"1",Northern,Angel,,Энджел,London Underground,London Underground,station,station,http://en.wikipedia.org/wiki/List_of_London_Underground_stations,subway,yes,no,Q531444,en:Angel tube station,,,,,,,,,,,Angel Station,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
n1670707917,"1670707917",node,"2",Northern,Camden Town,,Камден-таун,London Underground,,station,station,https//en.wikipedia.org/wiki/List_of_London_Underground_stations,subway,yes,no,Q1028430,en:Camden Town tube station,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
n1670707975,"1670707975",node,"2",Northern,Tufnell Park,,Тафнелл-парк,London Underground,London Underground,station,station,,subway,yes,no,Q1780856,en:Tufnell Park tube station,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
n2314512860,"2314512860",node,"1","Circle;District;Hammersmith & City","Edgware Road (Circle, District and Hammersmith & City lines)",,Эджвер-роуд,London Underground,Transport for London,station,station,,subway,yes,,Q1284426,"en:Edgware Road tube station (Circle, District and Hammersmith & City lines)","4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
