full_id,osm_id,osm_type,fare_zone,line,name,name:ru,network,public_transport,railway,source_ref,station,subway,wheelchair,wikidata,wikipedia,platforms,train,bicycle,old_name,entrance,level,operator,alt_name:ru,naptan:AtcoCode,ref:crs,layer,name:da,addr:postcode,alt_name,addr:street,start_date,wikimedia_commons,addr:housename,addr:city,addr:country,ref,wheelchair:description,description,barrier
n780856,"780856",node,"2","Hammersmith & City;Circle",Shepherd's Bush Market,Шепердс-Буш-Маркет,London Underground,station,station,http://en.wikipedia.org/wiki/List_of_London_Underground_stations,subway,yes,no,Q1857909,en:Shepherd's Bush Market tube station,,,,,,,,,,,,,,,,,,,,,,,,
n15026054,"15026054",node,"1","District;Circle",Sloane Square,Слоун-сквер,London Underground,station,station,,subway,yes,no,Q1530578,en:Sloane Square tube station,"2",yes,,,,,,,,,,,,,,,,,,,,,,
n25531623,"25531623",node,,,Shepherd's Bush (Central Line),,,,subway_entrance,,,,no,,,,,no,,,,,,,,,,,,,,,,,,,,,
n1264468143,"1264468143",node,"1","Circle;Hammersmith & City;Bakerloo;Jubilee;Metropolitan",Baker Street,Бейкер-стрит,London Underground,station,station,,subway,yes,,Q616218,en:Baker Street tube station,,,,,,,,,,,,,,,,,,,,,,,,
n1264482797,"1264482797",node,"1","District;Circle;Bakerloo","Paddington (Bakerloo, Circle and District lines)","Паддингтон (линии Бейкерлу, Дистрикт и Кольцевая)",London Underground,station,station,,subway,yes,yes,Q214788,"en:Paddington tube station (Bakerloo, Circle and District lines)",,,,Praed Street,,,,,,,,,,,,,,,,,,,,
n1428315781,"1428315781",node,,,Victoria Coach Station (Departures),,,,,,,,,,,,,,,main,,,,,,,,,,,,,,,,,,,
n1508498094,"1508498094",node,,,Barons Court,,,,subway_entrance,,,,no,,,,,,,,"0",,,,,,,,,,,,,,,,,,
n1651498764,"1651498764",node,"2","District;Piccadilly",Barons Court,Баронс-Корт,London Underground,station,station,,subway,yes,no,Q808729,en:Barons Court tube station,"2",,,,,,,,,,,,,,,,,,,,,,,
n1715158855,"1715158855",node,,,Victoria Coach Station (Departures),,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,
n2314512860,"2314512860",node,"1","Circle;District;Hammersmith & City","Edgware Road (Circle, District and Hammersmith & City lines)",Эджвер-роуд,London Underground,station,station,,subway,yes,,Q1284426,"en:Edgware Road tube station (Circle, District and Hammersmith & City lines)","4",,,,,,Transport for London,,,,,,,,,,,,,,,,,
n4514968602,"4514968602",node,"2",Central,White City,,London Underground,station,station,,subway,yes,,Q2120048,en:White City tube station,"3",,,,,,,,,,,,,,,,,,,,,,,
n4635572117,"4635572117",node,"1","Circle;Hammersmith & City",Paddington (Circle and Hammersmith & City lines),,London Underground,station,station,,subway,yes,yes,Q214788,en:London Paddington station,,,,,,,,,,,,,,,,,,,,,,,,
n5142610270,"5142610270",node,"2",District,Fulham Broadway,Фулем-бродвей,London Underground,station,station,http://en.wikipedia.org/wiki/List_of_London_Underground_stations,subway,yes,yes,Q1473616,en:Fulham Broadway tube station,,,,,,,,Фулхэм-бродвей,,,,,,,,,,,,,,,,
n5182384968,"5182384968",node,"2",District,West Kensington,Вест-Кенсингтон,London Underground,station,station,,subway,yes,no,Q944664,en:West Kensington tube station,,,,,,,,,,,,,,,,,,,,,,,,
n5182384969,"5182384969",node,"2",District,West Brompton,,"London Underground;London Overground",station,station,https//en.wikipedia.org/wiki/List_of_London_Underground_stations,subway,yes,no,Q801595,en:West Brompton station,,,,,,,,,9100WBRMPTN,WBP,,,,,,,,,,,,,,
